park_id,food_id,name,section,price,category,description,is_new,team,park,city
yankees,1,Classic Hot Dog,All Concourses,$7,Classic,The iconic ballpark frank with mustard and relish.,false,New York Yankees,Yankee Stadium,"New York, NY"
yankees,2,Lobster Roll,Section 132,$28,Seafood,Fresh Maine lobster with butter and lemon on a toasted brioche bun.,false,New York Yankees,Yankee Stadium,"New York, NY"
yankees,3,Garlic Fries,Main Concourse,$11,Sides,Crispy fries tossed in roasted garlic and fresh herbs.,false,New York Yankees,Yankee Stadium,"New York, NY"
yankees,4,NY Cheesesteak,Section 205,$16,Sandwiches,Shaved ribeye with provolone and caramelized onions.,false,New York Yankees,Yankee Stadium,"New York, NY"
yankees,5,Giant Soft Pretzel,All Concourses,$8,Snacks,Warm pretzel with beer cheese dipping sauce.,false,New York Yankees,Yankee Stadium,"New York, NY"
yankees,6,Chicken & Waffles,Section 134,$17,Sandwiches,Crispy fried chicken thigh on a Belgian waffle with honey butter and hot sauce.,false,New York Yankees,Yankee Stadium,"New York, NY"
yankees,7,Tiramisu Helmet,All Concourses,$14,Dessert,"Espresso mascarpone cream with lady finger cookies and cocoa powder, served in a souvenir helmet.",true,New York Yankees,Yankee Stadium,"New York, NY"
yankees,8,Loaded Nachos,Main Concourse,$13,Snacks,"Tortilla chips piled with cheese, jalapeños, sour cream, and pico de gallo.",false,New York Yankees,Yankee Stadium,"New York, NY"
redsox,9,Fenway Frank,All Concourses,$6,Classic,The classic New England-style steamed dog.,false,Boston Red Sox,Fenway Park,"Boston, MA"
redsox,10,Clam Chowder Bread Bowl,Gate B,$12,Seafood,Creamy New England chowder in a sourdough bread bowl.,false,Boston Red Sox,Fenway Park,"Boston, MA"
redsox,11,Lobster Mac & Cheese,EMC Club,$22,Seafood,Three-cheese mac topped with buttery Maine lobster.,false,Boston Red Sox,Fenway Park,"Boston, MA"
redsox,12,Sweet Potato Fries,Gate D,$9,Sides,Crispy sweet potato fries with chipotle aioli.,false,Boston Red Sox,Fenway Park,"Boston, MA"
redsox,13,Cannoli,Gate C,$7,Dessert,Authentic North End-style cannoli with ricotta cream.,false,Boston Red Sox,Fenway Park,"Boston, MA"
redsox,14,Fenway Turkey Club,Section 42,$15,Sandwiches,"Roasted turkey, bacon, avocado, and Swiss on sourdough.",false,Boston Red Sox,Fenway Park,"Boston, MA"
redsox,15,New England Fish & Chips,Section 19,$16,Seafood,"Beer-battered cod with fries, tartar sauce, and malt vinegar.",false,Boston Red Sox,Fenway Park,"Boston, MA"
redsox,16,Loaded Waffle Fries,Main Concourse,$12,Sides,"Waffle fries smothered in queso, bacon, and jalapeños.",false,Boston Red Sox,Fenway Park,"Boston, MA"
bluejays,17,Poutine,100 Level,$13,Sides,"Classic Canadian poutine: fries, cheese curds, and rich gravy.",false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
bluejays,18,Peameal Bacon Sandwich,200 Level,$12,Sandwiches,Toronto's signature peameal bacon on a kaiser roll with mustard.,false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
bluejays,19,Butter Chicken Poutine,Section 134,$16,Sides,A Toronto fusion twist — butter chicken sauce over poutine.,false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
bluejays,20,BeaverTail Pastry,Section 120,$9,Dessert,Canadian fried dough pastry topped with cinnamon sugar and lemon.,false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
bluejays,21,Classic Hot Dog,All Concourses,$7,Classic,Ballpark frank with all the fixings.,false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
bluejays,22,Jerk Chicken Sandwich,Section 128,$15,Sandwiches,Spiced jerk chicken with scotch bonnet slaw and mango aioli on a brioche bun — a nod to Toronto's Caribbean community.,false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
bluejays,23,Maple Glazed Ribs,Section 140,$19,BBQ,Pork ribs glazed with Canadian maple syrup and smoked to tender perfection.,false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
bluejays,24,Nanaimo Bar,All Concourses,$6,Dessert,"Canada's most famous no-bake layered square: chocolate, custard cream, and coconut base.",false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
rays,25,Cuban Sandwich,Section 107,$13,Sandwiches,"Pressed roasted pork, ham, Swiss, pickles, and mustard on Cuban bread — a Tampa staple.",false,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
rays,26,Grouper Sandwich,Section 140,$16,Seafood,"Fresh Gulf grouper on a hoagie with lettuce, tomato, and tartar sauce.",false,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
rays,27,Stone Crab Claws,Suite Level,$28,Seafood,Florida's finest stone crab claws with mustard dipping sauce.,false,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
rays,28,Key Lime Pie,Section 115,$8,Dessert,Tart and creamy authentic Key lime pie on a graham cracker crust.,false,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
rays,29,Loaded Tater Tots,Main Concourse,$11,Sides,"Crispy tater tots with cheese, jalapeños, and bacon bits.",false,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
rays,30,Pretzel Slugger Dog,All Concourses,$12,Classic,A footlong hot dog wrapped in a soft pretzel and topped with sea salt.,true,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
rays,31,Braised Short Rib Nachos,Section 126,$17,Snacks,"Tortilla chips piled with tender braised short rib, queso, pickled onions, and cilantro.",true,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
rays,32,Pulled Pork Grilled Cheese,Section 118,$14,Sandwiches,Slow-smoked pulled pork and pepper jack cheese on thick-cut Texas toast.,false,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
orioles,33,Boog's BBQ Pit Beef,Left Field,$16,BBQ,The legendary pit beef sandwich from Boog Powell's stand — a Camden Yards institution since 1992.,false,Baltimore Orioles,Oriole Park at Camden Yards,"Baltimore, MD"
orioles,34,Maryland Crab Cake Sandwich,Section 86,$18,Seafood,A proper lump crab cake on a brioche bun with Old Bay remoulade.,false,Baltimore Orioles,Oriole Park at Camden Yards,"Baltimore, MD"
orioles,35,Old Bay Fries,All Concourses,$9,Sides,Fries dusted generously with Old Bay seasoning — Maryland's pride.,false,Baltimore Orioles,Oriole Park at Camden Yards,"Baltimore, MD"
orioles,36,Berger Cookie,Section 334,$5,Dessert,Baltimore's iconic thick shortbread cookie smothered in fudge.,false,Baltimore Orioles,Oriole Park at Camden Yards,"Baltimore, MD"
orioles,37,Soft Pretzel,Main Concourse,$7,Snacks,Giant soft pretzel with stadium mustard.,false,Baltimore Orioles,Oriole Park at Camden Yards,"Baltimore, MD"
orioles,38,Crab Smash Tacos,Section 97,$16,Seafood,Crispy smashed crab cakes in warm tortillas with Old Bay slaw and spicy aioli.,true,Baltimore Orioles,Oriole Park at Camden Yards,"Baltimore, MD"
orioles,39,Warehouse Dog,All Concourses,$14,Classic,"Footlong all-beef hot dog topped with horseradish brick sauce, crispy onions, and pit beef queso fundido on a pretzel bun.",true,Baltimore Orioles,Oriole Park at Camden Yards,"Baltimore, MD"
orioles,40,Chesapeake Crab Dip Pretzel,Section 82,$14,Snacks,Giant soft pretzel topped with warm Maryland crab dip and Old Bay.,false,Baltimore Orioles,Oriole Park at Camden Yards,"Baltimore, MD"
whitesox,41,Chicago-Style Hot Dog,All Concourses,$8,Classic,"Vienna beef, yellow mustard, neon relish, tomato, celery salt — never ketchup.",false,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,42,Polish Sausage,All Concourses,$9,Classic,Grilled Polish sausage with peppers and onions on a poppy seed bun.,false,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,43,Pork Chop Sandwich,Section 159,$14,Sandwiches,Char-grilled pork chop sandwich — a South Side Chicago tradition.,false,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,44,Elotes,Section 122,$9,Sides,"Mexican street corn with cotija, chili powder, and lime.",false,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,45,Italian Ice,All Concourses,$6,Dessert,Classic lemon Italian ice — a Chicago summer essential.,false,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,46,All-Star Chicago Lineup,300 Club Level Portable,$28,Classic,"The ultimate Chicago mashup box: Vienna Beef hot dog, Buona Italian beef, charred kielbasa with caramelized onion and mustard, plus Garrett Stadium Buttery Popcorn — all in one.",true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,47,Tonkatsu Dog,Lucky's Section 154,$14,Classic,"Vienna Beef hot dog crusted in panko breadcrumbs, topped with Kewpie mayo, teriyaki sauce, and bonito flakes — created to celebrate new slugger Munetaka Murakami.",true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,48,Fajita Dog,Specialty Hot Dogs Section 113,$13,Classic,"Foot-long Vienna Beef hot dog topped with sautéed onions, sautéed peppers, and avocado crema.",true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,49,Two Bagger Smash Burger,Gourmet Burgers Section 126,$17,Burgers,"Half-pound beef patty topped with a Vienna Beef sausage, guacamole, grilled jalapeño, and poblano-aioli slaw.",true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,50,Machete,Machete Section 111,$16,Mexican,"A giant quesadilla filled with chicken chorizo, queso Oaxaca, and orange salsa. Vegetarian option available.",true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,51,Arepa Burger,Fusion Section 152,$15,Sandwiches,"Corn griddle cakes layered with honey-glazed pork belly, sofrito, coleslaw, garlic aioli, and aji sauce.",true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,52,Jibarito,Jibaritos Section 104,$14,Sandwiches,"A Puerto Rican classic: fried plantain sandwich filled with steak, lettuce, tomato, cheese, and a signature sauce.",true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,53,Puerto Rican Rice Bowl,La Esquinita Boricua Section 155,$15,Sides,"Puerto Rican rice topped with grilled steak or roasted pork, jalapeños, hot sauce, sofrito aioli, and pickled onions.",true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,54,Korean Dog 'Papa's Freedom',Lucky's Section 154,$13,Classic,Vienna Beef hot dog topped with crispy hash browns and chipotle ketchup.,true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,55,Soba Noodle Stir Fry,Lucky's Section 154,$13,Asian,"Soba noodles tossed in chili crunch marinade with carrots, mushrooms, cabbage, and sesame seeds.",true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,56,Rainbow Bubble Waffle,Lucky's Section 154,$12,Dessert,"Bubble waffle served with vanilla ice cream, gummy bears, Nerds clusters, and sprinkles.",true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,57,Campfire Milkshake 2.0,300 Club Level,$18,Dessert,"The viral returning fan favorite — now supersized for two fans to share. A toasted, smoky, indulgent milkshake experience.",true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,58,Crispy Chicken Wings & Fries,Wingman Section 101,$16,Snacks,"Crispy chicken wings with fries. Choose from Buffalo, mango habanero, garlic parmesan, or lemon pepper sauces.",true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,59,Street Tacos & Elotes,300 Club Level Portable,$14,Mexican,"Barbacoa, chicken tinga, and mushroom al pastor street tacos with chopped onion and cilantro, served with chips and elotes.",true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
whitesox,60,Chicken & Waffles,Stadium Club Bar,$17,Sandwiches,"Crispy fried chicken on a waffle, served with maple syrup.",true,Chicago White Sox,Guaranteed Rate Field,"Chicago, IL"
guardians,49,Pierogi,Section 174,$10,Snacks,Potato and cheese pierogis with caramelized onions and sour cream — a Cleveland tradition.,false,Cleveland Guardians,Progressive Field,"Cleveland, OH"
guardians,50,Cleveland Classic Dog,All Concourses,$7,Classic,Ballpark dog with brown mustard and sauerkraut.,false,Cleveland Guardians,Progressive Field,"Cleveland, OH"
guardians,51,Lake Erie Perch Sandwich,Section 149,$15,Seafood,Beer-battered Lake Erie perch on a hoagie with tartar sauce.,false,Cleveland Guardians,Progressive Field,"Cleveland, OH"
guardians,52,Buckeye Brownie,Section 168,$7,Dessert,Fudgy brownie with peanut butter and chocolate — Ohio's signature sweet.,false,Cleveland Guardians,Progressive Field,"Cleveland, OH"
guardians,53,Loaded Nachos,Main Concourse,$13,Snacks,"Nachos with queso, jalapeños, sour cream, and pico.",false,Cleveland Guardians,Progressive Field,"Cleveland, OH"
guardians,54,Cleveland Cheesesteak,Section 157,$15,Sandwiches,"Shaved ribeye with sautéed peppers, onions, and American cheese on a hoagie roll.",false,Cleveland Guardians,Progressive Field,"Cleveland, OH"
guardians,55,Kielbasa & Sauerkraut,All Concourses,$10,Classic,Grilled Polish kielbasa on a bun with stadium mustard and tangy sauerkraut.,false,Cleveland Guardians,Progressive Field,"Cleveland, OH"
guardians,56,Loaded Pierogi Fries,Section 147,$12,Sides,"Waffle fries topped with pierogi filling: butter, potato, cheddar, sour cream, and chives.",false,Cleveland Guardians,Progressive Field,"Cleveland, OH"
tigers,57,Coney Dog,All Concourses,$9,Classic,"The iconic Detroit Coney: hot dog smothered in beanless chili, mustard, and diced onions.",false,Detroit Tigers,Comerica Park,"Detroit, MI"
tigers,58,Coney Chili Fries,Section 126,$12,Sides,Fries topped with Coney-style chili and shredded cheddar.,false,Detroit Tigers,Comerica Park,"Detroit, MI"
tigers,59,Better Made Chips,All Concourses,$5,Snacks,Detroit's beloved Better Made potato chips — a local legend since 1930.,false,Detroit Tigers,Comerica Park,"Detroit, MI"
tigers,60,Motown BBQ Brisket Sandwich,Section 140,$16,BBQ,Slow-smoked brisket on a brioche bun with house slaw and pickles.,false,Detroit Tigers,Comerica Park,"Detroit, MI"
tigers,61,Sanders Hot Fudge Cream Puff,Section 121,$9,Dessert,Choux pastry filled with cream and drowned in Sanders hot fudge — a Detroit icon.,false,Detroit Tigers,Comerica Park,"Detroit, MI"
tigers,62,Detroit-Style Pizza Slice,Section 109,$13,Pizza,"Square, thick-crust Detroit-style pizza with sauce on top and caramelized cheese edges.",false,Detroit Tigers,Comerica Park,"Detroit, MI"
tigers,63,Vernors Float,All Concourses,$7,Dessert,Vanilla ice cream in Detroit's legendary ginger ale — a Motor City classic since 1866.,false,Detroit Tigers,Comerica Park,"Detroit, MI"
tigers,64,Loaded Coney Nachos,Section 131,$14,Snacks,"Tortilla chips covered in Coney chili, shredded cheddar, onions, and yellow mustard.",false,Detroit Tigers,Comerica Park,"Detroit, MI"
royals,65,Gates BBQ Burnt Ends,Section 136,$16,BBQ,"Smoky, saucy KC burnt ends from the legendary Gates Bar-B-Q.",false,Kansas City Royals,Kauffman Stadium,"Kansas City, MO"
royals,66,KC Brisket Sandwich,All Concourses,$15,BBQ,Thick-sliced smoked brisket on a toasted bun with KC sauce.,false,Kansas City Royals,Kauffman Stadium,"Kansas City, MO"
royals,67,Z-Man Sandwich,Section 127,$17,BBQ,"Joe's Kansas City BBQ slow-smoked beef brisket with provolone on a toasted kaiser roll, topped with two onion rings.",true,Kansas City Royals,Kauffman Stadium,"Kansas City, MO"
royals,68,Loaded Baked Potato,Section 118,$11,Sides,"Giant baked potato with butter, sour cream, cheddar, and chives.",false,Kansas City Royals,Kauffman Stadium,"Kansas City, MO"
royals,69,Funnel Cake,Right Field,$9,Dessert,"Powdered sugar funnel cake — crispy, golden, and irresistible.",false,Kansas City Royals,Kauffman Stadium,"Kansas City, MO"
royals,70,Classic Dog,All Concourses,$7,Classic,"Ballpark frank with mustard, ketchup, and relish.",false,Kansas City Royals,Kauffman Stadium,"Kansas City, MO"
royals,71,BBQ Pulled Pork Nachos,Section 142,$14,Snacks,"KC-style pulled pork over tortilla chips with queso, jalapeños, and pickled red onion.",false,Kansas City Royals,Kauffman Stadium,"Kansas City, MO"
royals,72,BBQ Ribs Basket,Section 116,$22,BBQ,"Half-rack of smoked baby back ribs with Gates sauce, coleslaw, and cornbread.",false,Kansas City Royals,Kauffman Stadium,"Kansas City, MO"
twins,73,Juicy Lucy Burger,Section 130,$15,Burgers,The Minnesota original: a burger stuffed with molten American cheese.,false,Minnesota Twins,Target Field,"Minneapolis, MN"
twins,74,Walleye Basket,Section 105,$17,Seafood,Beer-battered Minnesota walleye with fries and tartar sauce.,false,Minnesota Twins,Target Field,"Minneapolis, MN"
twins,75,Mini Donuts,All Concourses,$8,Dessert,Fresh-fried State Fair-style mini donuts with cinnamon sugar.,false,Minnesota Twins,Target Field,"Minneapolis, MN"
twins,76,Wild Rice Hot Dish,Section 118,$13,Sides,Minnesota's beloved wild rice hot dish in a handheld cup.,false,Minnesota Twins,Target Field,"Minneapolis, MN"
twins,77,Swedish Meatball Dog,Section 120,$12,Classic,A ballpark frank topped with Swedish-style meatballs and lingonberry sauce.,false,Minnesota Twins,Target Field,"Minneapolis, MN"
twins,78,Pronto Pup Corndog,All Concourses,$8,Classic,The Minnesota State Fair legend — a cornmeal-battered hot dog on a stick.,false,Minnesota Twins,Target Field,"Minneapolis, MN"
twins,79,Walleye Tacos,Section 112,$14,Seafood,Beer-battered Minnesota walleye in flour tortillas with cabbage slaw and cilantro lime crema.,false,Minnesota Twins,Target Field,"Minneapolis, MN"
twins,80,Salted Caramel Apple Nachos,Section 108,$10,Dessert,"Cinnamon chips drizzled with caramel and topped with diced apple, whipped cream, and nuts — a State Fair-inspired treat.",false,Minnesota Twins,Target Field,"Minneapolis, MN"
astros,81,Texas Brisket Nachos,All Concourses,$16,Snacks,"Loaded nachos with smoked brisket, queso, jalapeños, and pico.",false,Houston Astros,Daikin Park,"Houston, TX"
astros,82,BBQ Brisket Sandwich,Section 115,$17,BBQ,Slow-smoked Texas brisket on a brioche bun with pickles.,false,Houston Astros,Daikin Park,"Houston, TX"
astros,83,Kolache,Main Level,$6,Snacks,Houston's beloved Czech-Texan pastry with sausage and cheese.,false,Houston Astros,Daikin Park,"Houston, TX"
astros,84,Fajita Bowl,Left Field,$16,Mexican,"Grilled chicken or steak fajitas with rice, beans, and pico.",false,Houston Astros,Daikin Park,"Houston, TX"
astros,85,Funnel Cake Fries,Section 240,$9,Dessert,Crispy funnel cake strips dusted with powdered sugar.,false,Houston Astros,Daikin Park,"Houston, TX"
astros,86,Fried Chicken Waffle Sandwich,Section 127,$17,Sandwiches,"Crispy fried chicken on a waffle with pepper jack cheese, bacon onion jam, and honey chipotle aioli.",true,Houston Astros,Daikin Park,"Houston, TX"
astros,87,Gulf Coast Shrimp Tacos,Section 110,$15,Seafood,Grilled Gulf shrimp tacos with mango salsa and chipotle crema on flour tortillas.,false,Houston Astros,Daikin Park,"Houston, TX"
astros,88,Texas Chili Dog,All Concourses,$10,Classic,Ballpark frank smothered in Texas-style beef chili and shredded cheddar.,false,Houston Astros,Daikin Park,"Houston, TX"
angels,89,Tri-Tip Sandwich,Section 122,$16,BBQ,Santa Maria-style tri-tip on a roll with salsa — a California BBQ classic.,false,Los Angeles Angels,Angel Stadium,"Anaheim, CA"
angels,90,California Fish Tacos,Section 108,$14,Seafood,Beer-battered mahi mahi tacos with cabbage slaw and chipotle crema.,false,Los Angeles Angels,Angel Stadium,"Anaheim, CA"
angels,91,Classic Hot Dog,All Concourses,$7,Classic,Ballpark frank with all the fixings.,false,Los Angeles Angels,Angel Stadium,"Anaheim, CA"
angels,92,Loaded Nachos,All Concourses,$13,Snacks,"Nachos with queso, black beans, jalapeños, and pico de gallo.",false,Los Angeles Angels,Angel Stadium,"Anaheim, CA"
angels,93,Churros,Section 235,$7,Dessert,Freshly fried churros with cinnamon sugar and chocolate dipping sauce.,false,Los Angeles Angels,Angel Stadium,"Anaheim, CA"
angels,94,Carne Asada Fries,Section 105,$14,Mexican,"Fries loaded with grilled carne asada, guacamole, pico de gallo, and crema.",false,Los Angeles Angels,Angel Stadium,"Anaheim, CA"
angels,95,Avocado Toast Dog,Section 118,$13,Classic,"A modern California twist: ballpark dog topped with smashed avocado, pico, and everything bagel seasoning.",false,Los Angeles Angels,Angel Stadium,"Anaheim, CA"
angels,96,Al Pastor Taco,Left Field,$5,Mexican,"Marinated spit-roasted pork with pineapple, onion, and cilantro on a doubled corn tortilla.",false,Los Angeles Angels,Angel Stadium,"Anaheim, CA"
athletics,97,Tri-Tip Sandwich,Main Concourse,$15,BBQ,Slow-smoked tri-tip with house BBQ sauce on a toasted roll.,false,Athletics,Sutter Health Park,"Sacramento, CA"
athletics,98,Garlic Fries,All Concourses,$10,Sides,"Fries tossed in roasted garlic, olive oil, and parsley.",false,Athletics,Sutter Health Park,"Sacramento, CA"
athletics,99,Classic Hot Dog,All Concourses,$7,Classic,Ballpark frank with mustard and relish.,false,Athletics,Sutter Health Park,"Sacramento, CA"
athletics,100,Farm-to-Fork Bowl,Section 125,$15,Healthy,"Seasonal veggies, grains, and protein sourced from Sacramento's farm corridor.",false,Athletics,Sutter Health Park,"Sacramento, CA"
athletics,101,Donut Burger,Section 112,$17,Burgers,A beef patty sandwiched between a glazed donut — Sacramento's wildest ballpark creation.,false,Athletics,Sutter Health Park,"Sacramento, CA"
athletics,102,Sacramento Taco,Section 108,$5,Mexican,"Street-style taco with locally-sourced beef, salsa verde, cotija, and lime.",false,Athletics,Sutter Health Park,"Sacramento, CA"
athletics,103,Gold Rush Nachos,Section 120,$14,Snacks,"Tortilla chips loaded with pulled pork, gold BBQ sauce, jalapeños, and shredded cheddar.",false,Athletics,Sutter Health Park,"Sacramento, CA"
athletics,104,River City Churros,Section 130,$7,Dessert,"Fresh-fried cinnamon churros with caramel dipping sauce, a nod to Sacramento's vibrant food scene.",false,Athletics,Sutter Health Park,"Sacramento, CA"
mariners,105,Ivar's Clam Chowder,Section 134,$12,Seafood,Creamy Seattle-style clam chowder from the iconic Ivar's — a Pacific Northwest institution.,false,Seattle Mariners,T-Mobile Park,"Seattle, WA"
mariners,106,Dungeness Crab Roll,Section 109,$24,Seafood,Fresh Dungeness crab with lemon aioli on a toasted roll.,false,Seattle Mariners,T-Mobile Park,"Seattle, WA"
mariners,107,Teriyaki Bowl,Main Concourse,$14,Asian,Chicken or beef teriyaki over rice — Seattle's most beloved lunch.,false,Seattle Mariners,T-Mobile Park,"Seattle, WA"
mariners,108,Pike Place Salmon Sandwich,Section 145,$20,Seafood,Grilled Pacific salmon on sourdough with cucumber and dill cream cheese.,false,Seattle Mariners,T-Mobile Park,"Seattle, WA"
mariners,109,Garlic Fries,All Concourses,$10,Sides,Crispy fries tossed with roasted garlic and herbs.,false,Seattle Mariners,T-Mobile Park,"Seattle, WA"
mariners,110,Dungeness Crab MOTO Pizza,Section 128,$22,Pizza,Fresh Dungeness crab atop a MOTO-style pizza with creamy garlic sauce and arugula.,true,Seattle Mariners,T-Mobile Park,"Seattle, WA"
mariners,111,Bases Loaded Crab Nachos,Section 115,$19,Seafood,"Tortilla chips heaped with Dungeness crab, queso, pico, and Old Bay sour cream.",true,Seattle Mariners,T-Mobile Park,"Seattle, WA"
mariners,112,Ube Coconut Rice Krispie,All Concourses,$7,Dessert,A vibrant Pacific Northwest twist: purple ube and coconut flavored Rice Krispie treat.,true,Seattle Mariners,T-Mobile Park,"Seattle, WA"
mariners,113,Rolling Smoke Rib Platter,Section 142,$24,BBQ,"Smoked pork ribs from local Rolling Smoke BBQ, served with coleslaw and corn on the cob.",true,Seattle Mariners,T-Mobile Park,"Seattle, WA"
mariners,114,Salt & Straw Ice Cream,Section 118,$9,Dessert,A scoop from Portland's beloved Salt & Straw creamery — rotating seasonal flavors.,false,Seattle Mariners,T-Mobile Park,"Seattle, WA"
rangers,115,Texas Brisket Sandwich,All Concourses,$17,BBQ,Thick-cut smoked brisket on a brioche bun with pickles and onions.,false,Texas Rangers,Globe Life Field,"Arlington, TX"
rangers,116,Boomstick Burrito,Section 115,$22,Mexican,"A 24-inch burrito packed with rice, beans, seasoned taco meat, nacho cheese, pico de gallo, lettuce, and sour cream.",true,Texas Rangers,Globe Life Field,"Arlington, TX"
rangers,117,Chicken Fried Steak Sandwich,Section 120,$15,Sandwiches,Crispy chicken-fried steak with cream gravy on Texas toast.,false,Texas Rangers,Globe Life Field,"Arlington, TX"
rangers,118,Brisket Nachos,Main Concourse,$16,Snacks,"Tortilla chips loaded with smoked brisket, queso, jalapeños, and pico.",false,Texas Rangers,Globe Life Field,"Arlington, TX"
rangers,119,Elote,Left Field,$9,Sides,"Grilled corn with cotija cheese, chili powder, and lime.",false,Texas Rangers,Globe Life Field,"Arlington, TX"
rangers,120,Peach Cobbler,Section 230,$9,Dessert,Warm Texas peach cobbler with a scoop of vanilla ice cream.,false,Texas Rangers,Globe Life Field,"Arlington, TX"
rangers,121,Jalapeño Sausage Kolache,All Concourses,$7,Snacks,Texas-style kolache stuffed with spicy jalapeño sausage.,false,Texas Rangers,Globe Life Field,"Arlington, TX"
rangers,122,Lone Star Dog,All Concourses,$10,Classic,"Grilled Texas-sized all-beef frank topped with chili, shredded cheddar, and jalapeños.",false,Texas Rangers,Globe Life Field,"Arlington, TX"
braves,123,Chick-fil-A Sandwich,All Concourses,$10,Classic,The beloved Original Chick-fil-A Chicken Sandwich.,false,Atlanta Braves,Truist Park,"Atlanta, GA"
braves,124,Pulled Pork Nachos,Left Field,$16,BBQ,Carolina-style pulled pork on loaded nachos with slaw.,false,Atlanta Braves,Truist Park,"Atlanta, GA"
braves,125,Boiled Peanuts,All Concourses,$5,Classic,A Southern tradition — salted boiled peanuts in a paper bag.,false,Atlanta Braves,Truist Park,"Atlanta, GA"
braves,126,Georgia Peach Ice Cream,Section 117,$8,Dessert,Fresh peach ice cream in a waffle cone.,false,Atlanta Braves,Truist Park,"Atlanta, GA"
braves,127,Peach Cobbler,Section 204,$9,Dessert,Warm peach cobbler with vanilla ice cream.,false,Atlanta Braves,Truist Park,"Atlanta, GA"
braves,128,Nashville Hot Chicken Sandwich,Section 130,$16,Sandwiches,Crispy hot chicken with house pickles and honey on a buttered brioche bun.,false,Atlanta Braves,Truist Park,"Atlanta, GA"
